year,yield_kg_per_ha,rainfall_mm
2000,2402,416.4
2001,2793,574.3
2002,2709,267.1
2003,2794,604.7
2004,2839,554.5
2005,2762,565.3
2006,3024,708.7
2007,2749,559.3
2008,3175,604.8
2009,3133,422.6
2010,3433,684.0
2011,3461,757.2
2012,3515,642.0
2013,3438,764.9
