state,year,fertilizer,pesticide,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,yield
delhi,2017,921653.76,2224.52,25.82,672.17,42.58,90,40,30,7.5,2.88
jammu and kashmir,2017,43072750.08,103961.16,8.95,1041.73,60.39,70,25,42,6.7,2.31
delhi,2018,948545.6,2046.8,25.45,846.08,47.0,90,40,30,7.5,2.88
jammu and kashmir,2018,42498346.4,91704.2,9.45,814.65,55.72,70,25,42,6.7,2.35
delhi,2019,1004452.48,2163.76,25.47,618.71,49.1,90,40,30,7.5,3.01
jammu and kashmir,2019,48180912.88,103789.81,7.64,1323.46,67.07,70,25,42,6.7,2.0755
manipur,1997,14751.35,48.05,19.88,1143.54,69.39,58,17,37,5.9,2.075555556
manipur,1998,8730956.0,25627.3,20.69,1138.92,70.73,58,17,37,5.9,2.094444444
manipur,1998,7757776.0,22770.8,20.69,1138.92,70.73,58,17,37,5.9,2.2175
manipur,1999,16667716.5,42403.5,21.24,939.9,66.0,58,17,37,5.9,2.171111111
manipur,2000,15401891.3,40791.4,20.53,881.03,67.98,58,17,37,5.9,2.26
manipur,2001,16603274.1,42268.2,21.19,746.54,65.33,58,17,37,5.9,2.234444444
manipur,2002,14494923.7,38277.5,20.75,1116.15,69.08,58,17,37,5.9,2.034444444
manipur,2004,19101425.4,37025.1,20.24,1147.94,72.54,58,17,37,5.9,2.327777778
puducherry,2004,675716.58,1309.77,27.67,1307.68,76.32,88,55,40,7.0,2.76
puducherry,2004,616346.26,1194.69,27.67,1307.68,76.32,88,55,40,7.0,2.73
puducherry,2004,1397152.64,2708.16,27.67,1307.68,76.32,88,55,40,7.0,2.803333333
manipur,2005,19937899.2,34914.6,20.79,1151.48,72.59,58,17,37,5.9,2.238888889
puducherry,2005,641332.16,1123.08,28.11,1606.86,76.35,88,55,40,7.0,2.57
puducherry,2005,619626.64,1085.07,28.11,1606.86,76.35,88,55,40,7.0,1.845
puducherry,2005,1488207.2,2606.1,28.11,1606.86,76.35,88,55,40,7.0,2.89
manipur,2006,21119402.7,36381.4,21.21,891.77,67.6,58,17,37,5.9,2.276666667
manipur,2007,22164410.0,26584.0,20.15,1350.9,73.12,58,17,37,5.9,2.378888889
sikkim,1997,1493312.47,4864.21,6.26,788.56,69.8,50,20,30,5.5,1.365
sikkim,1998,1568351.2,4603.46,7.64,860.21,71.09,50,20,30,5.5,1.3775
sikkim,1999,1688316.04,4295.16,7.91,832.0,67.1,50,20,30,5.5,1.465
sikkim,2000,1493951.06,3956.68,6.98,709.04,70.32,50,20,30,5.5,1.4225
sikkim,2001,1521737.0,3874.0,7.51,800.67,68.47,50,20,30,5.5,1.4275
sikkim,2002,1400169.3,3697.5,7.24,740.4,72.52,50,20,30,5.5,1.4325
sikkim,2003,1458965.2,3537.6,7.28,793.29,71.84,50,20,30,5.5,1.4275
sikkim,2004,982643.8,1904.7,7.27,788.07,73.74,50,20,30,5.5,4.7875
sikkim,2005,1174016.8,2055.9,7.37,854.12,71.66,50,20,30,5.5,5.3425
sikkim,2006,1174932.0,2024.0,7.82,761.88,70.94,50,20,30,5.5,4.84
sikkim,2007,1582124.0,1897.6,7.57,914.37,72.94,50,20,30,5.5,1.5475
sikkim,2008,1859520.0,1170.0,7.31,876.35,74.08,50,20,30,5.5,1.5925
sikkim,2009,1911911.4,2085.9,7.76,924.82,70.34,50,20,30,5.5,1.595
sikkim,2010,2016575.4,2913.6,7.81,1155.04,71.24,50,20,30,5.5,1.6225
sikkim,2011,2021966.4,3983.1,7.15,1064.45,75.11,50,20,30,5.5,1.6225
sikkim,2012,1797536.0,3695.2,7.07,887.94,69.83,50,20,30,5.5,1.7175
sikkim,2013,1612219.42,3012.66,7.49,1122.24,70.75,50,20,30,5.5,1.76
sikkim,2014,1666598.4,3643.2,7.61,900.55,73.12,50,20,30,5.5,1.76
sikkim,2015,1684741.79,3520.77,7.55,951.55,78.01,50,20,30,5.5,1.7925
sikkim,2016,1606213.25,3668.35,7.94,1613.4,76.64,50,20,30,5.5,1.8075
sikkim,2017,1495837.44,3610.38,7.76,1475.83,77.31,50,20,30,5.5,1.815
sikkim,2018,1501323.2,3239.6,7.2,1519.09,77.58,50,20,30,5.5,1.82
sikkim,2019,1491735.6,3213.45,7.21,1606.09,78.68,50,20,30,5.5,1.8225
goa,2004,5681566.28,11012.82,27.38,1568.21,73.16,65,25,45,6.2,2.75
goa,2005,6257065.84,10957.17,27.19,2305.82,73.96,65,25,45,6.2,2.81
goa,2006,6766714.35,11656.7,27.19,2227.9,74.83,65,25,45,6.2,2.41
goa,2007,6962279.4,8350.56,27.27,2690.89,75.0,65,25,45,6.2,2.32
mizoram,1998,6162353.6,18087.88,23.08,1879.55,76.78,54,15,34,5.7,1.5225
mizoram,1998,594776.0,1745.8,23.08,1879.55,76.78,54,15,34,5.7,4.39
mizoram,1999,5276040.69,13422.51,23.61,1417.61,71.73,54,15,34,5.7,1.655
tripura,1999,24639140.8,62683.2,25.82,1694.79,71.12,62,20,35,5.9,2.075
tripura,2000,23862181.9,63198.2,24.84,1995.81,75.04,62,20,35,5.9,2.185
tripura,2001,25200577.5,64155.0,25.06,2076.34,73.48,62,20,35,5.9,2.28
tripura,2002,24166410.9,63817.5,25.18,1992.18,74.56,62,20,35,5.9,2.255
tripura,2003,25481411.2,61785.6,25.03,1818.04,76.01,62,20,35,5.9,2.31
mizoram,2004,6184588.9,11987.85,22.96,1595.77,75.51,54,15,34,5.7,1.9225
mizoram,2006,6464552.49,11136.18,23.4,1492.09,73.44,54,15,34,5.7,0.4525
mizoram,2006,285048.72,491.04,23.4,1492.09,73.44,54,15,34,5.7,1.58
mizoram,2007,7256026.2,8702.88,22.51,2380.67,78.62,54,15,34,5.7,0.2625
mizoram,2007,19743.2,23.68,22.51,2380.67,78.62,54,15,34,5.7,1.264
mizoram,2008,7417911.36,4667.31,22.79,1576.57,78.49,54,15,34,5.7,1.20625
mizoram,2008,18738.24,11.79,22.79,1576.57,78.49,54,15,34,5.7,2.555
mizoram,2009,7336784.7,8004.45,23.14,2193.41,77.35,54,15,34,5.7,1.3175
mizoram,2009,18542.58,20.23,23.14,2193.41,77.35,54,15,34,5.7,2.0
arunachal pradesh,1998,11409522.8,33489.49,22.25,1983.05,71.41,55,15,35,5.5,0.965384615
arunachal pradesh,1999,13026396.2,33139.8,22.77,1837.33,68.44,55,15,35,5.5,1.097692308
arunachal pradesh,2000,11643060.17,30836.26,21.83,2029.07,72.32,55,15,35,5.5,1.066153846
arunachal pradesh,2001,12199939.15,31058.3,22.41,1528.72,70.58,55,15,35,5.5,1.135384615
arunachal pradesh,2002,11794367.28,31146.0,22.38,1782.25,70.83,55,15,35,5.5,1.182666667
arunachal pradesh,2003,11798910.9,28609.2,22.16,1981.32,73.68,55,15,35,5.5,1.201333333
arunachal pradesh,2004,13178694.28,25544.82,21.61,2342.52,76.43,55,15,35,5.5,1.080625
arunachal pradesh,2005,14662258.64,25676.07,21.99,1846.11,76.07,55,15,35,5.5,1.16125
arunachal pradesh,2006,15713182.98,27068.36,22.48,1834.1,72.0,55,15,35,5.5,1.151875
arunachal pradesh,2007,16545468.6,19844.64,21.91,2462.3,74.93,55,15,35,5.5,1.225625
arunachal pradesh,2008,18137328.96,11411.91,21.7,2161.52,76.96,55,15,35,5.5,1.183125
arunachal pradesh,2009,18927143.76,20649.56,22.15,2029.0,75.82,55,15,35,5.5,1.12
arunachal pradesh,2010,20193992.7,29176.8,21.93,2691.02,78.47,55,15,35,5.5,1.219375
arunachal pradesh,2011,20688720.0,40755.0,21.61,2114.84,77.85,55,15,35,5.5,1.21875
arunachal pradesh,2012,19013618.0,39086.35,22.11,2351.92,77.38,55,15,35,5.5,1.308125
arunachal pradesh,2013,19071090.61,35637.03,22.6,2049.22,77.36,55,15,35,5.5,1.300588235
arunachal pradesh,2014,19202112.0,41976.0,22.88,2108.83,76.96,55,15,35,5.5,1.447058824
arunachal pradesh,2015,20338808.0,42504.0,22.7,2410.94,79.17,55,15,35,5.5,2.0875
goa,1997,1443633.73,4702.39,27.26,2291.68,74.12,65,25,45,6.2,2.69
goa,1997,610705.89,1989.27,27.26,2291.68,74.12,65,25,45,6.2,2.97
arunachal pradesh,1997,11422303.4,37206.2,21.37,1944.43,71.7,55,15,35,5.5,1.06
odisha,1998,80989422.8,237721.99,26.85,1487.76,73.65,67,26,32,6.3,0.837666667
odisha,1998,26486402.8,77743.49,26.85,1487.76,73.65,67,26,32,6.3,1.582666667
odisha,1998,331859418.8,974081.29,26.85,1487.76,73.65,67,26,32,6.3,1.342333333
odisha,2005,93657520.0,164010.0,26.68,1639.58,71.95,67,26,32,6.3,1.016428571
odisha,2005,38974000.0,68250.0,26.68,1639.58,71.95,67,26,32,6.3,2.04
odisha,2005,404490160.0,708330.0,26.68,1639.58,71.95,67,26,32,6.3,1.639666667
odisha,2006,96676470.0,166540.0,26.11,1755.76,73.83,67,26,32,6.3,1.056785714
odisha,2006,40228650.0,69300.0,26.11,1755.76,73.83,67,26,32,6.3,2.012
odisha,2006,431532090.0,743380.0,26.11,1755.76,73.83,67,26,32,6.3,1.580333333
odisha,2007,98982800.0,118720.0,26.18,1650.41,73.92,67,26,32,6.3,1.082857143
odisha,2007,44555600.0,53440.0,26.18,1650.41,73.92,67,26,32,6.3,2.108928571
odisha,2007,450358400.0,540160.0,26.18,1650.41,73.92,67,26,32,6.3,1.747
odisha,2008,101129280.0,63630.0,25.98,1798.14,75.13,67,26,32,6.3,1.062142857
odisha,2008,47346240.0,29790.0,25.98,1798.14,75.13,67,26,32,6.3,2.051538462
odisha,2008,488767680.0,307530.0,25.98,1798.14,75.13,67,26,32,6.3,1.545333333
goa,2008,4811579.52,3027.42,27.21,1926.63,73.51,65,25,45,6.2,2.325
goa,2008,2244011.52,1411.92,27.21,1926.63,73.51,65,25,45,6.2,2.755
odisha,2009,107048340.0,116790.0,27.04,1327.64,69.73,67,26,32,6.3,1.024074074
odisha,2009,41292300.0,45050.0,27.04,1327.64,69.73,67,26,32,6.3,2.163636364
odisha,2009,531813660.0,580210.0,27.04,1327.64,69.73,67,26,32,6.3,1.575666667
goa,2009,4856286.12,5298.22,27.55,2250.34,74.87,65,25,45,6.2,1.895
goa,2009,2483459.16,2709.46,27.55,2250.34,74.87,65,25,45,6.2,2.57
odisha,2010,112622580.0,162720.0,26.94,1457.71,72.42,67,26,32,6.3,0.939642857
odisha,2010,48670230.0,70320.0,26.94,1457.71,72.42,67,26,32,6.3,2.1024
odisha,2010,540688050.0,781200.0,26.94,1457.71,72.42,67,26,32,6.3,1.633
goa,2010,5088281.52,7351.68,27.57,2687.82,76.13,65,25,45,6.2,2.35
goa,2010,2654437.8,3835.2,27.57,2687.82,76.13,65,25,45,6.2,2.68
odisha,2011,89790720.0,176880.0,26.08,1571.55,73.33,67,26,32,6.3,0.8
odisha,2011,39534720.0,77880.0,26.08,1571.55,73.33,67,26,32,6.3,2.363913043
odisha,2011,541592160.0,1066890.0,26.08,1571.55,73.33,67,26,32,6.3,1.405333333
goa,2011,5234497.44,10311.51,27.27,2167.67,73.98,65,25,45,6.2,2.495
goa,2011,2678644.8,5276.7,27.27,2167.67,73.98,65,25,45,6.2,2.7
odisha,2012,84598800.0,173910.0,26.55,1398.23,70.87,67,26,32,6.3,1.56
odisha,2012,1301253200.0,2674990.0,26.55,1398.23,70.87,67,26,32,6.3,0.077333333
odisha,2012,480750400.0,988280.0,26.55,1398.23,70.87,67,26,32,6.3,2.490666667
goa,2012,4713254.0,9689.05,27.26,1947.68,73.08,65,25,45,6.2,2.59
goa,2012,2197910.0,4518.25,27.26,1947.68,73.08,65,25,45,6.2,2.85
odisha,2013,84093180.0,157140.0,26.41,1678.58,71.56,67,26,32,6.3,1.2972
odisha,2013,43347000.0,81000.0,26.41,1678.58,71.56,67,26,32,6.3,2.857307692
odisha,2013,476528020.0,890460.0,26.41,1678.58,71.56,67,26,32,6.3,1.853
odisha,2014,88009680.0,192390.0,26.21,1552.0,72.52,67,26,32,6.3,1.599166667
odisha,2014,45438960.0,99330.0,26.21,1552.0,72.52,67,26,32,6.3,2.62
odisha,2014,495450720.0,1083060.0,26.21,1552.0,72.52,67,26,32,6.3,2.379333333
odisha,2015,85429310.0,178530.0,26.57,1135.26,71.2,67,26,32,6.3,0.864583333
odisha,2015,36950940.0,77220.0,26.57,1135.26,71.2,67,26,32,6.3,2.619090909
odisha,2015,500100970.0,1045110.0,26.57,1135.26,71.2,67,26,32,6.3,1.417666667
odisha,2016,78395037.5,179042.5,26.8,1431.86,71.57,67,26,32,6.3,1.444074074
odisha,2016,34447535.0,78673.0,26.8,1431.86,71.57,67,26,32,6.3,2.745333333
odisha,2016,494453462.5,1129257.5,26.8,1431.86,71.57,67,26,32,6.3,2.543
odisha,2017,83493580.8,201521.6,26.52,1673.82,73.5,67,26,32,6.3,1.218928571
odisha,2017,34942233.6,84337.2,26.52,1673.82,73.5,67,26,32,6.3,2.673571429
odisha,2017,474544627.2,1145369.4,26.52,1673.82,73.5,67,26,32,6.3,1.747
odisha,2018,73698814.0,159029.5,25.89,1803.55,73.26,67,26,32,6.3,1.322916667
odisha,2018,44480106.0,95980.5,25.89,1803.55,73.26,67,26,32,6.3,2.586071429
odisha,2018,507819004.0,1095787.0,25.89,1803.55,73.26,67,26,32,6.3,1.982333333
nagaland,1998,13930800.0,40890.0,18.55,915.19,69.91,56,16,36,5.8,1.441428571
jammu and kashmir,1997,26242746.82,85481.26,8.63,447.57,52.51,70,25,42,6.7,0.016666667
